Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Developmental Milestones,6.1.6.1.3,X.A.1.c,Demonstrates Bilateral Integration,,,,PK,
Standard,6.1.6.2,X.A.2,Coordinates sequence of movements,,,,PK,
Developmental Milestones,6.1.6.2.1,X.A.2.a,Demonstrates Basic Body Coordination,,,,PK,
Developmental Milestones,6.1.6.2.2,X.A.2.b,Follows Simple Movement Instructions,,,,PK,
Developmental Milestones,6.1.6.2.3,X.A.2.c,Sequential Motor Task Execution,,,,PK,
Standard,6.1.6.3,X.A.3,Demonstrates control/strength of large muscles,,,,PK,
Developmental Milestones,6.1.6.3.1,X.A.3.a,Demonstrates balance and coordination,,,,PK,
Developmental Milestones,6.1.6.3.2,X.A.3.b,Showcases upper body strength and control,,,,PK,
Developmental Milestones,6.1.6.3.3,X.A.3.c,Exhibits lower body strength and control,,,,PK,
Standard,6.1.6.4,X.A.4,Child demonstrates coordination and balance in isolation.,,,,PK,
Cluster,6.1.6.5,X.A,Gross Motor Development,,,,PK,
Standard,6.2,PMP.2,Child uses perceptual information to guide motions and interactions with objects and other people,,,,,
Label,6.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.2.1.1,,Turns head toward sounds or visual stimuli.,,,,,
Label,6.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.2.2.1,,Tracks moving objects and adjusts body movements accordingly,,,,,
Label,6.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.2.3.1,,"Uses visual cues to adjust movements (e.g., stepping over obstacles).",,,,,
Label,6.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.2.4.1,,"Combines visual and tactile information to solve problems, such as fitting shapes into a sorter.",,,,,
Label,6.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.2.5.1,PMP.2.b,"Child is able to appropriately adjust movements and responses based on perceived information, demonstrating control of over their actions.'",,,,,
Developmental Milestones,6.2.5.2,PMP.2.a,"Child can accurately interpret visual, auditory, and tactile information to determine distance, location, and characteristics of objects and beings.'",,,,,
Developmental Milestones,6.2.5.3,PMP.2.c,Child can engage effectively in interactive activities by using perceptual cues to understand and respond to the actions of others.',,,,,
Label,6.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.2.6.1,X.B.1,Identifies/locates body parts,,,,PK,
Developmental Milestones,6.2.6.1.1,X.B.1.a,Recognizes and names basic body parts,,,,PK,
Developmental Milestones,6.2.6.1.2,X.B.1.b,Matches body parts to their functions,,,,PK,
Developmental Milestones,6.2.6.1.3,X.B.1.c,Distinguishes external and internal body parts,,,,PK,
Standard,6.2.6.2,X.B.2,Guides body motions relative to other/objects,,,,PK,
Developmental Milestones,6.2.6.2.1,X.B.2.a,Spatial Awareness,,,,PK,
Developmental Milestones,6.2.6.2.2,X.B.2.b,Object Interaction,,,,PK,
Developmental Milestones,6.2.6.2.3,X.B.2.c,Coordinated Movement,,,,PK,
Cluster,6.2.6.3,X.B,Body Awareness,,,,PK,
Standard,6.3,PMP.3,"Child demonstrates increasing control, strength, and coordination of small muscles",,,,,
Label,6.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.3.1.1,,"Grasps small objects with the whole hand (e.g., rattles or toys).",,,,,
Label,6.3.2,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.3.2.1,,"Uses a pincer grasp to pick up small items, like food or small toys.",,,,,
Label,6.3.3,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.3.3.1,,Stacks blocks and uses utensils with growing precision.,,,,,
Label,6.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.3.4.1,,Strings large beads and manipulates puzzle pieces.,,,,,
Label,6.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.3.5.1,PMP.3.b,Child exhibits steady improvement in fine-motor tasks,,,,,
Developmental Milestones,6.3.5.2,PMP.3.c,Child displays growing strength in small muscle groups,,,,,
Developmental Milestones,6.3.5.3,PMP.3.a,Child demonstrates accurate handling and manipulation of objects,,,,,
Label,6.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.3.6.1,X.C.1,Demonstrates control/strength of small muscles,,,,PK,
Developmental Milestones,6.3.6.1.1,X.C.1.a,1) Demonstrates Fine Motor Skills,,,,PK,
Developmental Milestones,6.3.6.1.2,X.C.1.b,2) Exhibit Manual Dexterity,,,,PK,
Developmental Milestones,6.3.6.1.3,X.C.1.c,3) Show Hand-eye coordination,,,,PK,
Standard,6.3.6.2,X.C.2,Demonstrates eye-hand coordination,,,,PK,
Developmental Milestones,6.3.6.2.1,X.C.2.a,'Displays precision in grasping objects',,,,PK,
Developmental Milestones,6.3.6.2.2,X.C.2.b,'Manages successful object transfer from one hand to another',,,,PK,
Developmental Milestones,6.3.6.2.3,X.C.2.c,'Accurately directs hand based on visual input',,,,PK,
Cluster,6.3.6.3,X.C,Fine Motor Development Skills,,,,PK,
Standard,6.4,PMP.4,Child demonstrates personal hygiene and self-care skills,,,,,
Label,6.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.4.1.1,,Reacts positively to being cleaned or cared for by caregivers,,,,,
Label,6.4.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.4.2.1,,"Begins to assist in basic self-care tasks, such as holding out arms to put on clothes.",,,,,
Label,6.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.4.3.1,,"Attempts simple self-care tasks with assistance, such as washing hands or using a spoon.",,,,,
Label,6.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.4.4.1,,"Independently completes basic tasks, like washing hands with supervision.",,,,,
Label,6.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.4.5.1,PMP.4.a,"Child independently performs basic hygiene tasks such as washing hands, brushing teeth, and tidying up personal items.",,,,,
Developmental Milestones,6.4.5.2,PMP.4.b,Child understands the importance of a daily hygiene routine and can follow simple self-care instructions.,,,,,
Developmental Milestones,6.4.5.3,PMP.4.c,"Child recognizes the need for cleanliness and is able to identify when personal care, like using the restroom or cleaning up a spill, is needed.",,,,,
Label,6.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.4.6.1,X.D.2,Practices personal health/hygiene,,,,PK,
Developmental Milestones,6.4.6.1.1,X.D.2.a,Demonstrates Basic Personal Hygiene Routines,,,,PK,
Developmental Milestones,6.4.6.1.2,X.D.2.b,Understands the Importance of Dietary Health,,,,PK,
Developmental Milestones,6.4.6.1.3,X.D.2.c,Displays Awareness of Physical Fitness,,,,PK,
Standard,6.5,PMP.5,Child develops knowledge and skills that help promote nutritious food choices and eating habits,,,,,
Label,6.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.5.1.1,,Shows interest in feeding times and observes adults eating.,,,,,
Label,6.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.5.2.1,,Explores different tastes and textures during mealtimes.,,,,,
Label,6.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.5.3.1,,Recognizes favorite healthy foods and begins asking for them by name.,,,,,
Label,6.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.5.4.1,,Demonstrates curiosity about food preparation by watching or helping caregivers.,,,,,
Label,6.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.5.5.1,PMP.5.a,Understanding Nutrition,,,,,
Developmental Milestones,6.5.5.2,PMP.5.b,Making Healthy Choices,,,,,
Developmental Milestones,6.5.5.3,PMP.5.c,Developing Healthy Eating Habits,,,,,
Label,6.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.5.6.1,X.D.3,Identifies good nutrition/exercise habits,,,,PK,
Developmental Milestones,6.5.6.1.1,X.D.3.a,Understands Basic Food Groups,,,,PK,
Developmental Milestones,6.5.6.1.2,X.D.3.b,Differentiates Between Healthy and Unhealthy Foods,,,,PK,
Developmental Milestones,6.5.6.1.3,X.D.3.c,Recognizes Physical Activity Importance,,,,PK,
Standard,6.6,PMP.6,Child demonstrates knowledge of personal safety practices and routines,,,,,
Label,6.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.6.1.1,,"Reacts to changes in their environment that signal safety or danger, such as loud noises or being held securely.",,,,,
Label,6.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.6.2.1,,"Understands simple safety instructions, like ""Stop"" or ""No.""",,,,,
Label,6.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.6.3.1,,"Begins to follow basic safety routines, such as holding hands while walking.",,,,,
Label,6.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.6.4.1,,"Anticipates safety rules during familiar routines, such as waiting before crossing the street.",,,,,
Label,6.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.6.5.1,PMP.6.a,"Child can identify potential dangers in various environments (home, school, playground).",,,,,
Developmental Milestones,6.6.5.2,PMP.6.b,"Child correctly follows personal safety routines like hand-washing, crossing the road, etc.",,,,,
Developmental Milestones,6.6.5.3,PMP.6.c,Child exhibits understanding of how to seek help from trusted adults in unsafe or uncomfortable situations.,,,,,
Label,6.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.6.6.1,X.D.1,Practices personal safety,,,,PK,
Developmental Milestones,6.6.6.1.1,X.D.1.a,Demonstrates awareness of safety rules and guidelines,,,,PK,
Developmental Milestones,6.6.6.1.2,X.D.1.b,Shows understanding of personal boundaries and respect for others,,,,PK,
Developmental Milestones,6.6.6.1.3,X.D.1.c,Displays skills in self-caution and awareness during physical activities,,,,PK,
Cluster,6.6.6.2,X.D,Personal Safety and Healthy Skills,,,,PK,
Domain,7,,Technology Use,,,,,
Domain,8,,Fine Arts,,,,,
