Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Standard,4.8.1,LIT.1,Child demonstrates awareness that spoken language is composed of smaller segments of sound,,,,,,- Notices and plays with different sounds in words.
Label,4.8.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.1.1,,Smiles when hearing matching sounds,,,,,,- Smiles when hearing familiar sounds.
Label,4.8.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.2.1,,Recognizes and matches simple rhyming patterns,,,,,,"- Matches words that sound the same, like ""cat"" and ""hat."""
Label,4.8.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.3.1,,Identifies rhymes in short verses,,,,,,- Points to or claps when hearing words that sound alike.
Label,4.8.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.4.1,,Creates and identifies rhyming words,,,,,,- Says or repeats rhyming words.
Label,4.8.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.1.5.1,LIT.1.a,Child understands and identifies different sounds in words,,,,,,- Recognizes and points to familiar sounds in words.
Developmental Milestones,4.8.1.5.2,LIT.1.b,Child exhibits phonological awareness,,,,,,- Shows interest in rhyming words and sounds.
Developmental Milestones,4.8.1.5.3,LIT.1.c,Child applies sound recognition in language interaction,,,,,,- Recognizes and responds to familiar sounds and words.
Label,4.8.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.1.6.1,IV.B.2,Combines words to make compound word,,,,PK,,"- Says two words together to make a new word, like ""sunflower."""
Developmental Milestones,4.8.1.6.1.1,IV.B.2.a,Identification of Simple Words,,,,PK,,- Point to or say a word they know when looking at a picture book.
Developmental Milestones,4.8.1.6.1.2,IV.B.2.b,Understanding Word Formation,,,,PK,,"- Says simple words like ""mama"" and ""ball."""
Developmental Milestones,4.8.1.6.1.3,IV.B.2.c,Application of Compound Words,,,,PK,,"- Combines two words to make a new word, like ""rain"" and ""bow"" to say ""rainbow."""
Standard,4.8.1.6.2,IV.B.3,Deletes words from compound word,,,,PK,,Takes away one word from a two-word phrase.
Developmental Milestones,4.8.1.6.2.1,IV.B.3.a,Recognizes Compound Words,,,,PK,,"- Claps hands when hearing words like ""rainbow"" or ""sunflower."""
Developmental Milestones,4.8.1.6.2.2,IV.B.3.b,Separates Compound Words,,,,PK,,"- Breaks apart simple words like ""sunflower"" into ""sun"" and ""flower."""
Developmental Milestones,4.8.1.6.2.3,IV.B.3.c,Verbal Expression of Simple Words,,,,PK,,"- Say simple words like ""mama"" or ""ball."""
Standard,4.8.1.6.3,IV.B.4,"Segments, blends, and deletes syllables",,,,PK,,- Claps or taps out each part of a word.
Developmental Milestones,4.8.1.6.3.1,IV.B.4.a,Identifying Individual Syllables,,,,PK,,- Claps along to the rhythm of words.
Developmental Milestones,4.8.1.6.3.2,IV.B.4.b,Blending Syllables Together,,,,PK,,- Clap along to syllables in simple words.
Developmental Milestones,4.8.1.6.3.3,IV.B.4.c,Deleting Syllables,,,,PK,,- Clap or tap to break words into parts.
Developmental Milestones,4.8.1.6.3.4,IV.B.4.d,Can compound sounds into simple words,,,,PK,,- Says simple words by putting sounds together.
Standard,4.8.1.6.4,IV.B.5,Recognizes and produces rhyming words,,,,PK,,"- Says or points to words that sound alike, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.4.1,IV.B.5.a,Identifies and Matches Rhyming Words,,,,PK,,Points to or claps when hearing words that sound the same.
Developmental Milestones,4.8.1.6.4.2,IV.B.5.b,Produces Rhyming Pairs,,,,PK,,"- Says words that sound alike, like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.4.3,IV.B.5.c,Rhyme Recognition in Storytelling,,,,PK,,- Recognizes and enjoys rhyming words in stories.
Developmental Milestones,4.8.1.6.4.4,IV.B.5.d,Recognizes rhyming words,,,,PK,,- Notices and smiles or reacts when hearing rhyming words.
Standard,4.8.1.6.5,IV.B.8,Blends spoken phonemes (one syllable words with picture support),,,,PK,,- Points to a picture and says the sounds together to make a word.
Developmental Milestones,4.8.1.6.5.1,IV.B.8.a,Identifies single phonemes in spoken words,,,,PK,,- Recognizes individual sounds in words.
Developmental Milestones,4.8.1.6.5.2,IV.B.8.b,Matches phonemes with corresponding pictures,,,,PK,,- Points to pictures when hearing familiar sounds.
Developmental Milestones,4.8.1.6.5.3,IV.B.8.c,Combines separated phonemes into whole words,,,,PK,,- Puts sounds together to say a word.
Standard,4.8.1.6.6,IV.B.6,Recognizes and produces alliterative words,,,,PK,,- Notices and repeats words that start with the same sound.
Developmental Milestones,4.8.1.6.6.1,IV.B.6.a,Identifies Alliterative Words,,,,PK,,- Recognizes words that start with the same sound.
Developmental Milestones,4.8.1.6.6.2,IV.B.6.b,Creates Alliterative Words,,,,PK,,- Says words that start with the same sound.
Developmental Milestones,4.8.1.6.6.3,IV.B.6.c,Distinguishes Non-Alliterative Words,,,,PK,,- Points or reacts differently to words that don’t start with the same sound.
Standard,4.8.1.6.7,IV.B.7,Blends onset and rime,,,,PK,,"- Says the first sound and the rest of a word together, like ""c-at"" for ""cat."""
Developmental Milestones,4.8.1.6.7.1,IV.B.7.a,Identifies and Isolates Onset Sounds,,,,PK,,- Points to or repeats the first sound in familiar words.
Developmental Milestones,4.8.1.6.7.2,IV.B.7.b,Recognizes and Produces Rhyming Words,,,,PK,,"- Says simple rhyming words like ""cat"" and ""hat."""
Developmental Milestones,4.8.1.6.7.3,IV.B.7.c,Successfully Joins Onset and Rime,,,,PK,,- Puts the beginning and end of words together to make a rhyme.
Standard,4.8.1.6.8,IV.B.1,Separates sentences into words,,,,PK,,- Points to or claps for each word in a simple sentence.
Developmental Milestones,4.8.1.6.8.1,IV.B.1.a,Identify Individual Words,,,,PK,,- Points to or says words in a story.
Developmental Milestones,4.8.1.6.8.2,IV.B.1.b,Understanding Sentence Structure,,,,PK,,- Strings together words to form simple sentences.
Developmental Milestones,4.8.1.6.8.3,IV.B.1.c,Phonemic Awareness,,,,PK,,- Recognizes and plays with sounds in words.
Standard,4.8.1.6.9,IV.D.4,Asks and answers questions about words,,,,PK,,- Points to objects and says their names to ask questions.
Developmental Milestones,4.8.1.6.9.1,IV.D.4.a,'Identifies unfamiliar words and phrases',,,,PK,,- Points to or shows interest in new words and sounds.
Developmental Milestones,4.8.1.6.9.2,IV.D.4.b,'Demonstrates comprehension by responding accurately to questions about words',,,,PK,,- Answers simple questions about familiar words.
Developmental Milestones,4.8.1.6.9.3,IV.D.4.c,'Initiates questions to understand meaning of new words',,,,PK,,- Asks about new words to learn what they mean.
Standard,4.8.1.6.10,III.C.4,Demonstrates growing understanding of sound/intonation of English language (ELL/DLL),,,,PK,,- Imitates sounds and tones in English during play.
Developmental Milestones,4.8.1.6.10.1,III.C.4.a,Identifies and Responds to Different Sounds,,,,PK,,- Turns head or reacts to familiar sounds.
Developmental Milestones,4.8.1.6.10.2,III.C.4.b,Understands and Mimics Intonations,,,,PK,,- Copies the way people talk with different tones.
Developmental Milestones,4.8.1.6.10.3,III.C.4.c,Recognizes Language Patterns and Rhythms,,,,PK,,- Claps or bounces to familiar songs and rhymes.
Standard,4.8.1.6.11,III.C.2,Perceives differences in similar sounding words,,,,PK,,- Notices when words that sound alike are different.
Developmental Milestones,4.8.1.6.11.1,III.C.2.a,Identification of Phonemic Variations,,,,PK,,- Recognizes and reacts to different sounds in words.
Developmental Milestones,4.8.1.6.11.2,III.C.2.b,Auditory Discrimination,,,,PK,,"- Recognizes and responds to familiar sounds, like a parent’s voice or a favorite song."
Developmental Milestones,4.8.1.6.11.3,III.C.2.c,Vocabulary Expansion,,,,PK,,- Say new words during play and daily routines.
Developmental Milestones,4.8.1.6.11.4,III.C.2.d,Child recognizes at least 20 letter sounds.,,,,PK,,- Says the sounds of 20 different letters.
Standard,4.8.2,LIT.2,Child demonstrates an understanding of how print is used (functions of print) and the rules that govern how print works (conventions of print),,,,,,Points to words in a book and turns pages correctly.
Label,4.8.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.2.1.1,,Touches and looks at images in books,,,,,,- Points to and explores pictures in books.
Label,4.8.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.2.2.1,,Selects books to explore with caregivers,,,,,,Chooses a book to look at with a caregiver.
Label,4.8.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.2.3.1,,Brings books to adults to read together,,,,,,Hands a book to an adult for reading time.
Label,4.8.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.2.4.1,,Chooses books based on interests,,,,,,- Picks a favorite book to explore.
Label,4.8.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.2.5.1,LIT.2.b,Identifies Functions of Print,,,,,,Points to words in a book during reading time.
Developmental Milestones,4.8.2.5.2,LIT.2.c,Applies Conventional Rules of Print,,,,,,Turns pages of a book and looks at pictures.
Developmental Milestones,4.8.2.5.3,LIT.2.a,Recognizes Basic Print Concepts,,,,,,- Points to words or letters in a book.
Label,4.8.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.2.6.1,IV.E.1,Distinguishes between letters/words/pictures,,,,PK,,Points to or touches different pictures and letters.
Developmental Milestones,4.8.2.6.1.1,IV.E.1.a,Identifies Differences Between Letters,,,,PK,,Points to or names different letters.
Developmental Milestones,4.8.2.6.1.2,IV.E.1.b,Differentiates Words from Other Text Elements,,,,PK,,Recognizes words as separate from pictures or symbols.
Developmental Milestones,4.8.2.6.1.3,IV.E.1.c,Recognizes Pictures in Context,,,,PK,,- Points to familiar pictures in a book.
Standard,4.8.2.6.2,IV.E.2,Understands print directionality,,,,PK,,- Points to words and pictures from left to right in a book.
Developmental Milestones,4.8.2.6.2.1,IV.E.2.a,Recognizes Left-to-Right Sequence,,,,PK,,- Points to or follows objects from left to right with eyes.
Developmental Milestones,4.8.2.6.2.2,IV.E.2.b,Understands Top-to-Bottom Flow,,,,PK,,- Points or looks when objects move from top to bottom.
Developmental Milestones,4.8.2.6.2.3,IV.E.2.c,Comprehends Progression through Pages,,,,PK,,- Turns pages of a book one at a time.
Standard,4.8.2.6.3,IV.E.5,Recognizes some familiar words,,,,PK,,- Points to or responds to familiar words.
Developmental Milestones,4.8.2.6.3.1,IV.E.5.a,Identifies Common Sight Words,,,,PK,,- Points to familiar words in books.
Developmental Milestones,4.8.2.6.3.2,IV.E.5.b,Phonetical Awareness,,,,PK,,- Babble sounds that mimic speech patterns.
Developmental Milestones,4.8.2.6.3.3,IV.E.5.c,Contextual Word Recognition,,,,PK,,- Recognizes familiar words in everyday situations.
Standard,4.8.2.6.4,IV.E.3,Identifies punctuation and letter case,,,,PK,,Points to big and small letters or spots in books.
Developmental Milestones,4.8.2.6.4.1,IV.E.3.a,"Recognizes familiar punctuation symbols (periods, exclamation marks, question marks).",,,,PK,,"- Points to and names familiar punctuation marks like periods, exclamation points, and question marks."
Developmental Milestones,4.8.2.6.4.2,IV.E.3.b,Differentiates between uppercase and lowercase letters.,,,,PK,,Recognizes big and small letters.
Developmental Milestones,4.8.2.6.4.3,IV.E.3.c,Applies punctuation and letter case while writing simple sentences.,,,,PK,,- Uses letters and simple marks to create words.
Standard,4.8.2.6.5,IV.E.4,Understands sentences are comprised of words separated by spaces,,,,PK,,Points to words in a sentence and notices spaces between them.
Developmental Milestones,4.8.2.6.5.1,IV.E.4.a,Recognizes that sentences are a combination of individual words.,,,,PK,,- Points to or repeats words in a sentence to show understanding.
Developmental Milestones,4.8.2.6.5.2,IV.E.4.b,Identifies the spaces between words in a sentence.,,,,PK,,- Points to the spaces between words in a sentence.
Developmental Milestones,4.8.2.6.5.3,IV.E.4.c,Differentiates between words in a sentence by visually noticing spaces.,,,,PK,,Points to spaces between words in a sentence.
Standard,4.8.2.6.6,IV.A.4,Practices proper book-handling skills,,,,PK,,Turns pages of a book one at a time.
Developmental Milestones,4.8.2.6.6.1,IV.A.4.a,Demonstrates correct gripping and turning of book pages.,,,,PK,,Turns pages of a book using their fingers.
Developmental Milestones,4.8.2.6.6.2,IV.A.4.b,"Identifies and follows the correct reading direction (left to right, top to bottom).",,,,PK,,- Points to pictures and words from left to right on a page.
Developmental Milestones,4.8.2.6.6.3,IV.A.4.c,Handles books with respect and care to maintain their condition.,,,,PK,,- Turns pages of a book gently and carefully.
Standard,4.8.2.6.7,IV.D.2,Tells how illustrations support text,,,,PK,,Points to pictures in a book to show what they are about.
Developmental Milestones,4.8.2.6.7.1,IV.D.2.a,Interpretation,,,,PK,,- Shows understanding by responding to simple gestures or words.
Developmental Milestones,4.8.2.6.7.2,IV.D.2.b,Visual Literacy,,,,PK,,- Looks at pictures in a book and points to familiar objects.
Developmental Milestones,4.8.2.6.7.3,IV.D.2.c,Articulation,,,,PK,,- Say words clearly enough for others to understand.
Standard,4.8.2.6.8,IV.A.3,Understands text has meaning,,,,PK,,Points to pictures in a book and listens to the story.
Developmental Milestones,4.8.2.6.8.1,IV.A.3.a,Recognizes Words and Symbols,,,,PK,,- Points to familiar words or symbols in books.
Developmental Milestones,4.8.2.6.8.2,IV.A.3.b,Connects Text to Real-Life Situations,,,,PK,,- Points to pictures in a book and relates them to familiar objects or experiences.
Developmental Milestones,4.8.2.6.8.3,IV.A.3.c,Comprehends Story and Content,,,,PK,,- **Listens to simple stories and points to pictures.**
Standard,4.8.2.6.9,IV.D.14,Identifies role of author/illustrator,,,,PK,,Points to pictures and says who made them.
Developmental Milestones,4.8.2.6.9.1,IV.D.14.a,Recognizes the Concept of Authorship,,,,PK,,Points to or names who made a drawing or story.
Developmental Milestones,4.8.2.6.9.2,IV.D.14.b,Understands the Role of the Illustrator,,,,PK,,Points to pictures in a book and talks about them.
Developmental Milestones,4.8.2.6.9.3,IV.D.14.c,Differentiates Between Author and Illustrator,,,,PK,,Points to pictures and says who drew them.
Standard,4.8.3,LIT.3,Child identifies letters of the alphabet,,,,,,- Points to and names some letters.
Label,4.8.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.3.1.1,,Repeats simple sounds during interactions,,,,,,- Babble and mimic simple sounds during play.
